256 20
0     	0.015634166502726407 0.0602962054462716 0.0173069723379592 0.0616478203981641 0.0761689887232293 0.0421501893244687 0.0515242324534111 0.0258671939880512 0.0689287113854466 0.0724855831454786 0.1034162052390041 0.0246712861515281 0.0463427836450538 0.0316866367884363 0.0396150949388245 0.0475745323677075 0.0645536549424180 0.0507713160650802 0.0650395872590639 0.0087764535620710 0.0411765518383318
1     	0.014725511074568851 0.0684977982051633 0.0173867558848856 0.0606999750322398 0.0679469433425445 0.0384425159443369 0.0745326556401757 0.0244386060157088 0.0566065448619894 0.0651686111235862 0.0875464138363790 0.0202246347218186 0.0406961562581702 0.0476877904406404 0.0404017632889580 0.0567748622272185 0.0575396485701627 0.0530419449898570 0.0682537975804424 0.0189882447369204 0.0351243372988026
2     	0.012015424205345541 0.0662337766960704 0.0061637783850963 0.0549040951121171 0.0608163956127613 0.0420687838871644 0.0637550869716404 0.0262903592287254 0.0558352527737061 0.0552925512764927 0.0966018867683612 0.0239680401258925 0.0435232997402012 0.0465279732513071 0.0404192338438383 0.0572387670433790 0.0665620195578882 0.0583699480189931 0.0785675025385092 0.0148164040774018 0.0420448450904543
3     	0.010773301056951522 0.0652906078317693 0.0244329850698325 0.0423955225759624 0.0533187902992535 0.0385477381143009 0.0506016661525317 0.0309367216082649 0.0533948857212196 0.0523343489821335 0.1022098900341808 0.0256616422230359 0.0407481367167062 0.0552587927989565 0.0465189613588934 0.0596986884840010 0.0834310334977214 0.0638922966259106 0.0707245179190115 0.0107183392433880 0.0298844347429265
4     	0.010408956695952425 0.0989542787395452 0.0129597789955198 0.0533788611354380 0.0734443518583846 0.0288726432809857 0.0516919650847430 0.0297734629378120 0.0526756353357674 0.0511033397939350 0.1071989001834366 0.0194170525377992 0.0401285658668292 0.0266617942364316 0.0755917707812619 0.0716814069424579 0.0614547402745060 0.0515348742808591 0.0600093429786252 0.0088623440243106 0.0246048907313518
5     	0.010277510425277206 0.1240632853405174 0.0130385816127193 0.0607554341028312 0.0632741715788317 0.0343337875070255 0.0727554783338622 0.0310096954573604 0.0442497208131979 0.0286024152223872 0.1128887159198197 0.0195612258818402 0.0248398373234995 0.0368172750782010 0.0412691254097009 0.0847868147962735 0.0471964978651967 0.0494527706758521 0.0704449318915562 0.0146922289975250 0.0259680061918024
6     	0.009897286649028753 0.0570620374338510 0.0100703152718934 0.0448782390954052 0.0449119461227862 0.0334450434473287 0.2707040321584532 0.0200279794707072 0.0605630437968733 0.0420511824704728 0.0828946695521414 0.0214816444632866 0.0342890648909554 0.0270251103745986 0.0295578663432743 0.0397932310497385 0.0408597148884859 0.0411148188098481 0.0637826776332569 0.0083935571251830 0.0270938256014604
7     	0.009666152938177025 0.0701320496460704 0.0147627723587933 0.0800600208629615 0.0924981329465294 0.0246368562850870 0.0600949317256449 0.0324054000080902 0.0333071109443722 0.0840971767276649 0.0562252855035032 0.0166914261690464 0.0667032051559521 0.0321265038807176 0.0551503499187494 0.0604302475287920 0.0839580794676718 0.0602358153849811 0.0427792461908241 0.0086099190573021 0.0250954702372462
8     	0.009281518213248196 0.0854387795299010 0.0147882377098425 0.0541446496775563 0.0741228334670336 0.0288001806640359 0.0574529505638857 0.0239756047779156 0.0661136222642430 0.0680154207902284 0.0919289451762469 0.0256913704271655 0.0475849469267785 0.0266053536690787 0.0433184113217324 0.0505199154403301 0.0756629866386100 0.0625256478900628 0.0758226427563896 0.0029696114559535 0.0245178888530103
9     	0.009125370629962869 0.0738206091352551 0.0775113181815792 0.0499979544969356 0.0545802765521018 0.0383550797164355 0.0580596551791441 0.0263655767399898 0.0551263536096667 0.0517039393159290 0.0887435620880176 0.0221218884216153 0.0408140548418569 0.0337753846979280 0.0395342711531419 0.0538126480467312 0.0658692418350063 0.0534456819604193 0.0696102853011099 0.0128866745886381 0.0338655441384987
10    	0.008914527283040872 0.0624245818057571 0.0143669312645170 0.0494768760183643 0.0566007279685845 0.0304884055307666 0.0544974516937048 0.0237188159598201 0.1319926815229298 0.0518367897983588 0.0782248961645009 0.0162540364046059 0.0360833118006812 0.0298890377541070 0.0343466848758095 0.0466282646917984 0.0491991362669009 0.0445088727532164 0.1505290681879455 0.0098053069021201 0.0291281226355115
11    	0.008194660458403431 0.0725994113992362 0.0117431373540820 0.0526763147627445 0.0582330251477413 0.0331107059843037 0.0567304874902572 0.0238837769779377 0.0636370684235610 0.0538547691957947 0.1030265146599021 0.0936389292480842 0.0394481504916207 0.0326213830380102 0.0382628785401477 0.0486627305094661 0.0548620257690051 0.0515752908673318 0.0684089638143317 0.0113175778871529 0.0317068584392894
12    	0.00781972982057143 0.0753265390874201 0.0125930715150765 0.0534844110434309 0.0575685776245845 0.0386512504391855 0.0553017239964960 0.1061185015992841 0.0565078183324391 0.0518545945322441 0.0859209798715772 0.0224079347425782 0.0391425821804206 0.0307518120318886 0.0402759729541344 0.0488426350011779 0.0565461534832585 0.0536646150222096 0.0694978116893458 0.0118480372551358 0.0336949775981125
13    	0.0076265302683709395 0.0872549331147675 0.0127439369876497 0.0433518260702431 0.0492381727926266 0.0365941434327539 0.0584787463602483 0.0220446392500586 0.0506222164456468 0.0377585134792858 0.0835595167085905 0.0211873360154520 0.0300852779079099 0.1796941293588291 0.0315260626334039 0.0480722818819189 0.0486442167910743 0.0465146971813056 0.0670000358545223 0.0145477865765178 0.0310815311571952
14    	0.007618590560746262 0.0673388205048069 0.0122091771422465 0.0409423712506172 0.0499730160708469 0.0348308902933057 0.0499887374314140 0.0220749591112843 0.0555129282196077 0.1320565590029739 0.0838355678535471 0.0222233819797848 0.0354494598310700 0.0267933695413852 0.0338427037540129 0.1285340563496691 0.0518860280031604 0.0477315036452707 0.0658603470791862 0.0088026341108892 0.0301134888249215
15    	0.007419215680393245 0.2115349096383160 0.0166136839628076 0.0401474197455093 0.0489573137090948 0.0323091970551024 0.0544780099700569 0.0224315579182722 0.0459392676885516 0.0449616264348613 0.0733083075253154 0.0210836965836195 0.0308277382193678 0.0222688441070060 0.0328116502522370 0.0434250843022479 0.1196455487823057 0.0466505728617849 0.0547139668047570 0.0087784489538323 0.0291131554849543
16    	0.007171320364556087 0.0591787716873756 0.0166520079581473 0.0320669787430805 0.0395779525376430 0.0959378157907474 0.0352852881214141 0.0283988683477207 0.0805173559403018 0.0414457538599240 0.1370172019787247 0.0334040744477470 0.0317746297094079 0.0250181456335060 0.0316414679051076 0.0408165017458447 0.0506765898040390 0.0474343294593991 0.0821792326057709 0.0163981200339358 0.0745789136901631
17    	0.007139561534057376 0.0896005840547626 0.0080907103540753 0.0902247345531226 0.1170191435571717 0.0134915468046095 0.0521974352303846 0.0238842846001198 0.0315413866470304 0.0757589984788852 0.0508054990064215 0.0159230220196084 0.0648240258007327 0.0360791621721455 0.0640477173012559 0.0461569328239345 0.0920665526236184 0.0698693277312609 0.0433570693721581 0.0021935337613223 0.0128683331073801
18    	0.007096334236989687 0.0751672139851951 0.0154843794335491 0.0272583585253408 0.0324408920556839 0.0396181554806119 0.0414148978652737 0.0199369704015095 0.1209212115440521 0.0254614574698114 0.1729602330661262 0.0316657177999380 0.0201672899869772 0.0297675709120416 0.0276127912763843 0.0430497949237855 0.0371896522942339 0.0441384731984980 0.1555301161500270 0.0136376196176294 0.0265772040133314
19    	0.007068104165435277 0.0624424229242131 0.0088479293965186 0.0474409967442737 0.0511637121019673 0.0261531429632491 0.0529003076235149 0.0198005855079609 0.1134947448852837 0.0423886655944132 0.2331282149048591 0.0266356292913033 0.0317476200962173 0.0223008527920336 0.0298393690646112 0.0443238073142733 0.0425233380769462 0.0378282028228858 0.0758259049237319 0.0068710765091862 0.0243434764625577
20    	0.006968416725258769 0.0798180194026075 0.0100325294938861 0.0519267535972917 0.0720699863398264 0.0312519187956742 0.0407752621678828 0.0230616536617624 0.0531516395754899 0.0624881249853461 0.0787702756750525 0.0190166696030616 0.0384066026935920 0.1463745382760696 0.0399685059428669 0.0420998439194655 0.0671526519760787 0.0506244738974689 0.0614804679512470 0.0052346123399478 0.0262954697053824
21    	0.006909310012941723 0.0635702274098869 0.0226103589783823 0.0286893340231821 0.0453046846348384 0.0367747005415704 0.0285289426841037 0.0217143042402733 0.1069444434584614 0.0533578707757000 0.1448616523164722 0.0477322642639657 0.0325008533642776 0.0194201471426495 0.0398541953762180 0.0455438203969894 0.0566757792272549 0.0626004411453435 0.1127845667367981 0.0050100530267409 0.0255213602568915
22    	0.006756691188600697 0.0749899483042210 0.0125267844979488 0.0533754091651721 0.0595675200901751 0.0365276293775306 0.0569324786927289 0.0270630388798516 0.0516213851914362 0.0536813907639314 0.0836571849810238 0.0218772382504056 0.0406716863295669 0.0344034438074475 0.0428771467389023 0.0563110205014302 0.0623894880523238 0.0572386019999570 0.0635840189627674 0.0792444674253718 0.0314601179878082
23    	0.006748751480976019 0.0851953333944923 0.0078774597467741 0.0551782222339308 0.1428983115605079 0.0309789842112662 0.0369185361201072 0.0188589814828422 0.0478626599277375 0.1113215211531310 0.0727618143771884 0.0190458169760724 0.0412533360973130 0.0211222036926673 0.0667096144333227 0.0474454360383990 0.0532149397915980 0.0533889365247007 0.0511557759768912 0.0084630314330182 0.0283490848280397
24    	0.006726696737574137 0.0837593597241447 0.0053150968112037 0.0714223876897479 0.0434015015819079 0.0357737217723215 0.0995318755936909 0.0192612010682084 0.0422772064185914 0.0473113653297403 0.0624507951843581 0.0142877068844678 0.0660004436066838 0.0429749119107126 0.0414233807568823 0.0442121278488894 0.0822949464368423 0.0710821576849248 0.0577926838559205 0.0225017147417196 0.0469254150990420
25    	0.006667590025257093 0.0787808922083988 0.0137784214855274 0.0476797158808895 0.0565379178897116 0.0330530123545934 0.0510589397551340 0.0238568437164999 0.0612661075268292 0.0494493226805728 0.0795092895588983 0.0198127694412848 0.0338394618479527 0.0279146651719980 0.0330318650157397 0.0480509672626281 0.0560501863139201 0.1554288277043422 0.0887625198401286 0.0111126847295865 0.0310255896153643
26    	0.006646417471591285 0.0729061921612444 0.0115702878740351 0.0495788943045607 0.0890615683121137 0.0181795749506235 0.0307585603172163 0.0431821155870246 0.0342631211936169 0.1012461374053252 0.0634022062108678 0.0212276106500245 0.0606617456512884 0.0136821521460328 0.0986485723412055 0.0854939524154881 0.0756932037656701 0.0633943180860007 0.0434700591021328 0.0033401002556934 0.0202396272698357
27    	0.006587310759274241 0.0707240357243654 0.0120184314671526 0.0526250863249808 0.0594724631364266 0.1254333157269242 0.0593093382534758 0.0240443836580141 0.0551264932431033 0.0519755487570110 0.1046169391248418 0.0191648751557073 0.0405984129630868 0.0331376922069902 0.0376141738475932 0.0485071184507273 0.0587592939960937 0.0504347690794939 0.0622196109952150 0.0088299903861291 0.0253880275026678
28    	0.00652732185722112 0.0704942163683529 0.0085949189438414 0.0513032806748109 0.0562934889678656 0.0904436101552877 0.0572895605872950 0.0188551299241426 0.0488911606338011 0.0506738958703825 0.0768363953679760 0.0201082863432516 0.0361914382369114 0.0302046091631706 0.0354692270260402 0.0456181472302856 0.0523743624835409 0.0483995644115432 0.0597115377123923 0.0091156266584113 0.1331315432406971
29    	0.006372938653407943 0.0976920919054915 0.0018420045884215 0.0655167231295854 0.0671626092704791 0.0333193320156049 0.0625053571988120 0.0208934625462932 0.0429289800439148 0.0662877069189656 0.0852121810444132 0.0203515231651940 0.0426094082510853 0.0397850754685219 0.0569590741758976 0.0600893387756350 0.0591516513113647 0.0633276297432263 0.0642744892800025 0.0173651684479650 0.0327261927191267
30    	0.006371174273935793 0.1078695674241739 0.0134849395129515 0.0668649292422674 0.0709548553509985 0.0166548300473219 0.0717056348247427 0.0327503033269997 0.0228014890318016 0.0501097978615114 0.0464440348813413 0.0139680859472089 0.0507059526318318 0.0870014139297052 0.0537002286634779 0.0605963996374870 0.0964922569696249 0.0696523824668764 0.0418737204756323 0.0083981184416425 0.0179710593324034
31    	0.006338533253701007 0.0617399689889323 0.0033480769469915 0.0671861779013195 0.0761226671098201 0.0367078836276351 0.0552502360599864 0.0330390376181208 0.0575612955018499 0.0844287230384526 0.0846284324872424 0.0172612901260135 0.0564583886790206 0.0328322921831430 0.0512131342101633 0.0546176862974733 0.0653932594188003 0.0569159621447892 0.0588390093676563 0.0056433440273788 0.0408131342652108
32    	0.006282955300328263 0.0971251719128093 0.0098332604227191 0.0515803740228444 0.0525663351656714 0.0326004945657375 0.0622327894212547 0.0115595258449683 0.0612919313108880 0.0468141627915240 0.0833590113560709 0.0208587529830660 0.0642147984928419 0.0463377947758727 0.0554920150036479 0.0346527098701543 0.0835394711237552 0.0794890190610327 0.0732705008913116 0.0092427445135897 0.0239391364702406
33    	0.0062511964698295525 0.0634423249130291 0.0049616027366706 0.1493733078876104 0.2779120379223567 0.0076149173223689 0.0319790174541343 0.0241347150632674 0.0133667120080097 0.0719752100540198 0.0232861875069848 0.0106395995234061 0.0479522383317397 0.0182426136888042 0.0829292370836174 0.0428386135580075 0.0522524415924440 0.0404786614260297 0.0237338978229487 0.0029170404813906 0.0099696236231605
34    	0.006137393993875839 0.1628995622084525 0.0063823039817820 0.0782538178053843 0.1069257847394290 0.0160889487393729 0.0580678000201870 0.0314986490924299 0.0220846778127545 0.0447813362204050 0.0581304124231957 0.0116405160514560 0.0284008753837280 0.0238322039921914 0.0704791544064611 0.1018812538192862 0.0626635575038664 0.0566274069296711 0.0378939605716882 0.0084025055407449 0.0130652727575141
35    	0.006087109178919547 0.0763926712445071 0.0094249577708375 0.1370937330386702 0.1640417080773297 0.0322043273529060 0.0470313187941284 0.0177075051307056 0.0523819663437261 0.0457735143095556 0.0776004345816608 0.0200053746753812 0.0335890681074463 0.0295507350528077 0.0341789538677421 0.0353703902602760 0.0489373303281085 0.0456757431538231 0.0591364804044589 0.0087064041995356 0.0251973833063935
36    	0.006032413415282879 0.1026874569133912 0.0145539062005651 0.0605753143295724 0.0495006170785454 0.0183073872487987 0.2483889855987944 0.0261203122829333 0.0219145355315807 0.0419296594726306 0.0376964355168430 0.0137725680211803 0.0568273016634105 0.0286408011521282 0.0364869113151010 0.0449110742019910 0.0900631084890101 0.0481468901945399 0.0343727730743972 0.0073725147550364 0.0177314469595508
