1024 20
0     	0.0036496189381435024 0.0596927043751511 0.0165762626548223 0.0549533575779550 0.0719037395697365 0.0355845898114576 0.0486539457795503 0.0267813040875030 0.0596734283756345 0.0676931435581339 0.1452251032148900 0.0252514015155910 0.0464290078148417 0.0326380246603819 0.0433822820570462 0.0481362657626299 0.0626916507130771 0.0506756036379019 0.0581395416485376 0.0109520978351462 0.0349665570920957
1     	0.0036407970407827494 0.0600519449854650 0.0187947997470930 0.0550209620881783 0.0778475044573643 0.0394899772625969 0.0445995301429264 0.0321027296051357 0.0570836953972868 0.0699128328488373 0.0942001114825581 0.0267677850048450 0.0498108070251938 0.0377158225484496 0.0498041176598837 0.0525480028827519 0.0711777996608527 0.0532206354408915 0.0611627209302326 0.0127919897550872 0.0358962314244186
2     	0.0032261678648273597 0.0614584824993164 0.0184031398460487 0.0507297992890347 0.0582327737489746 0.0410946157095980 0.0523215223789992 0.0289162595460760 0.0576851841946951 0.0546079042521192 0.0898165346732294 0.0241207692999727 0.0449958889280831 0.0373803777197156 0.0418602336313919 0.0532953723817337 0.1194609781788350 0.0524656720754717 0.0653128360404704 0.0127762648110473 0.0350653946103363
3     	0.0031802939985514445 0.0576798785020804 0.0155652217495146 0.0568206874341193 0.0707811243550624 0.0388366941553398 0.1014132818862690 0.0264894160277392 0.0607902085714286 0.0679664123717060 0.0866665659361997 0.0226625041719834 0.0439829145353675 0.0382344859389736 0.0413249319833564 0.0513353707350902 0.0584238404715673 0.0494014343134536 0.0643641533980583 0.0130250290940361 0.0342358378002774
4     	0.0031714721011906915 0.0599362739221140 0.0148221485332406 0.0528810932239221 0.0646240781641168 0.0388935214492350 0.0531269159165508 0.0264760281390821 0.0594299702642559 0.0626720025869263 0.0860097905146036 0.0249146483004172 0.0434205905730181 0.0376048820305981 0.0427056170987483 0.0504911008901252 0.0619924373852573 0.1063419952712100 0.0662147653963839 0.0127081691499305 0.0347339789012517
5     	0.0031132475786097217 0.0603790013034854 0.0155976622465288 0.0499464137631057 0.0602674352791159 0.0372267482601303 0.0511860195551148 0.0258945026183055 0.0967073463587418 0.0566638331765373 0.0840694542363276 0.0260753841541513 0.0414452919807311 0.0365499655426466 0.0401166123632757 0.0496296046330405 0.0593728766506092 0.0517970493454236 0.1113927015868518 0.0124758053831114 0.0332062926098045
6     	0.0030559052457648276 0.0656967333814611 0.0147102785264222 0.0527486730609298 0.0609325808258735 0.0377032524545192 0.0545410376783136 0.0258594516026567 0.0619850973433439 0.1232027669361826 0.0843821766098759 0.0248577086341323 0.0403016720675715 0.0362125140889402 0.0403940849754548 0.0508178746404851 0.0573365844932140 0.0520468089228992 0.0696323793242853 0.0120243332919434 0.0346139968206757
7     	0.0030417902099876227 0.0720358989559164 0.0152145947044664 0.0476609443793503 0.0556686990893271 0.0391420343474478 0.0579385470069606 0.0269825803944316 0.0592045607598608 0.0509337456757541 0.0887020886020882 0.0250433595533643 0.1116490223607888 0.0362334848839907 0.0405983312325986 0.0504984167981439 0.0543683670968678 0.0500269426798144 0.0701838608178654 0.0130384937604408 0.0348760253422274
8     	0.0030364970715711713 0.0630079219703575 0.0150778837910491 0.1056389908166230 0.0568783654170299 0.0401898154606219 0.0569368504795118 0.0271966469224063 0.0604123057541412 0.0583015019471084 0.0885800302818948 0.0233491414850334 0.0434346498779425 0.0387659899593142 0.0404345067451322 0.0505795855565243 0.0619907120023249 0.0525091920662598 0.0678562925893636 0.0128236938538216 0.0360359251409474
9     	0.0030312039331547194 0.0649551437881875 0.0147486744553390 0.0551414773639802 0.0667494510910678 0.0398260488885656 0.0558812994442828 0.0255351697643294 0.0620671884201338 0.0571143355659005 0.0787688475996508 0.0232036603607797 0.0416317712219959 0.1034823734070410 0.0382032755135292 0.0465036668199011 0.0559154073407041 0.0503580336921734 0.0704935228105906 0.0134225228030259 0.0359981305295316
10    	0.0029659218926851474 0.1084982470990777 0.0161378587964891 0.0544447796786671 0.0676538889021124 0.0384424542398096 0.0567176601428146 0.0251770893751860 0.0616974503124070 0.0594575376078548 0.0863751713180601 0.0238145454180303 0.0417479416840226 0.0406899763909551 0.0405943573519786 0.0506956443469206 0.0607204449271050 0.0526974193097292 0.0688464269562630 0.0123317553986909 0.0332593433323416
11    	0.0029359274416585874 0.0638104750450992 0.0144796885484065 0.0530001394618160 0.0620700672880337 0.0392615107606735 0.0548069951713770 0.0264061630186410 0.0619613056524354 0.0609015067648827 0.0863396245941070 0.0240026597624775 0.0422334206374023 0.0380931797113650 0.0387560018821407 0.0499043872098617 0.0587480719482862 0.0517896097113650 0.0692753928743235 0.0130627115832832 0.0910970947985567
12    	0.0029059329906320273 0.0641790110200365 0.0143231197355798 0.0468568126229508 0.1268706865816637 0.0386376402884031 0.0529669856830601 0.0264762255555556 0.0646723949666060 0.0581230379599271 0.0899098295081967 0.0245036687947784 0.0419748872647237 0.0363571369429265 0.0381671332270795 0.0494435008378871 0.0565521125166970 0.0526656026715240 0.0702293244383728 0.0117039108041894 0.0353869768275653
