256 20
0     	0.01012947014201791 0.0593571772687545 0.0057861900327163 0.1351552100226598 0.2918631884363318 0.0072466317429932 0.0301643728476822 0.0248339232821038 0.0142465402410555 0.0687158538968783 0.0243470287723292 0.0112996464879084 0.0457868829214364 0.0146480478802802 0.0902798074038664 0.0436373852378405 0.0562099514828227 0.0393618244857796 0.0253876398709138 0.0022761427522004 0.0093965549334468
1     	0.010066731306678834 0.0490047045153766 0.0102014647323679 0.0238630183137415 0.0448269589212501 0.0103588093712541 0.0257545114425203 0.0306592025089469 0.0217862629270511 0.2157602676417785 0.0363249380192310 0.0174394826425120 0.0418781071497533 0.0153004326665751 0.0665284337851380 0.2440981470677520 0.0585096792599797 0.0447968304439575 0.0274877208188171 0.0035663176366628 0.0118547101353344
2     	0.008509667484172702 0.0213338724687906 0.0085256678942942 0.0034671644690308 0.0064377962834807 0.0481538732383231 0.0046273777627242 0.0069300636317193 0.1451677189959099 0.0091660002696946 0.4772022320884109 0.0886458430249400 0.0063714105092197 0.0053586020564139 0.0110880799195961 0.0102840414324913 0.0151384388801416 0.0203670610264520 0.0979013803144055 0.0024542147905213 0.0113791609434402
3     	0.008124679176410198 0.0439956303577750 0.0065267302211666 0.3548252947609158 0.1495229734534796 0.0066571638063451 0.0424798714467747 0.0225829297032317 0.0101958095888504 0.0359210646568883 0.0158858311760271 0.0075138326037271 0.0997245000357324 0.0140541235964973 0.0367210822922328 0.0249610054419682 0.0659339431206665 0.0344419407494357 0.0169335258175993 0.0022860141282188 0.0088367330424672
4     	0.007588547310785376 0.0394341060518814 0.0107126696477331 0.0037809131429653 0.0077614468548228 0.0221153368817771 0.0057987770127106 0.0048148369255775 0.3044095945453997 0.0078760893329324 0.1331947979387816 0.0396586043639850 0.0070208309922500 0.0055694188558301 0.0076975643404300 0.0075693355823139 0.0181119160529265 0.0380561530700810 0.3270775998323832 0.0010948309378192 0.0082451776373993
5     	0.006772942451377403 0.1715344974951827 0.0220455874350104 0.0266086853798408 0.0279111977413236 0.0099987224240077 0.0625916084332190 0.0158655139620202 0.0161036537805584 0.0262457218567303 0.0230142701680975 0.0116629989374315 0.0507508517365396 0.0215638693410505 0.0271819088474830 0.0248138855095210 0.3099843356040046 0.1096726238450891 0.0304212697681534 0.0023902036079334 0.0096385941268034
6     	0.006721610677009069 0.1573336807660490 0.0143337942825669 0.0211926894100035 0.0189348079735354 0.0062598625000264 0.4949523391480825 0.0090107014246580 0.0090535606368174 0.0146108694769392 0.0132116249573695 0.0063226504254578 0.0264358817812043 0.0115059104236450 0.0130390911537892 0.0158566635847768 0.1126089873413055 0.0305433793036596 0.0180088679768074 0.0017554907232944 0.0050291467100121
7     	0.0067073518507956426 0.4330293565591674 0.0273276030044559 0.0082159895012678 0.0116518942166807 0.0059990279990895 0.0630599365444683 0.0051634482091042 0.0156387736786646 0.0090731899636572 0.0158209508090639 0.0078947546599874 0.0151827165250244 0.0100811396831434 0.0094475200554334 0.0083999276585391 0.2260927868218326 0.0774833628975442 0.0451375438825394 0.0009164662154502 0.0043836111148863
8     	0.006564763588661381 0.0240440078256461 0.0045061762650024 0.0100657698980374 0.0217829102086663 0.0057095813930390 0.0139030723857001 0.0257685003190799 0.0107698390445877 0.2937993645618260 0.0205400511729377 0.0105006922941562 0.0270599003619910 0.0100322714394987 0.0540466370210728 0.3825781072618368 0.0337757508914515 0.0247762971284402 0.0139399364727958 0.0038247979156158 0.0085763361386184
9     	0.006507728283807677 0.0118488767457883 0.0064505251261011 0.0009031527033137 0.0016339246626442 0.0447240146392301 0.0014582294938908 0.0018937004511104 0.1578043272281929 0.0026243688285217 0.5570568152301820 0.0914940246008060 0.0018452263218330 0.0013417224183460 0.0032305904813958 0.0031959391161877 0.0049335312768922 0.0101509970964270 0.0875360730275133 0.0036795676382073 0.0061943929134163
10    	0.006504876518564992 0.1070432348227142 0.0112887833358475 0.0213667622155261 0.0295275095850466 0.0128468253021215 0.0257393581469859 0.0172392882785478 0.0230608623171432 0.0290039802253772 0.0414825225596683 0.0136903205043106 0.0226568310065447 0.3880371254441559 0.0298606826290165 0.0286081176142168 0.0914326027255945 0.0538328673145073 0.0378085167431616 0.0044023999995076 0.0110714092300061
11    	0.006499172988079622 0.0201869496100697 0.0086021565050197 0.0012616858377972 0.0027321250857995 0.0222310129122050 0.0021489128583749 0.0025054215065814 0.3575530516622655 0.0034922018475521 0.2286837574229888 0.0502148028632867 0.0029051832513250 0.0011297429548937 0.0037793969872059 0.0039752784086293 0.0069312348278961 0.0193685318559095 0.2546440214515457 0.0020244730843725 0.0056300590662819
12    	0.006370843552158786 0.1052678619584260 0.0164681338227861 0.0214172219019178 0.0278024256863958 0.0133946681244137 0.0259589572733533 0.0148494025939862 0.0433129803808601 0.0324654125214658 0.0381505663261897 0.0213281123149312 0.0410131646264065 0.0159181465960551 0.0242263113644051 0.0279312810005984 0.1865939322188223 0.2649746556889103 0.0645926709277026 0.0030663809811514 0.0112677136912225
13    	0.006299549421091656 0.0559142697310111 0.0125828771836371 0.0823543736694678 0.0472360483358973 0.0134896741765023 0.0497681989296428 0.0395853767115942 0.0197558147513139 0.0515128193601702 0.0272670244427491 0.0139503338863559 0.2512655304161971 0.0147577090264722 0.0390736774136271 0.0403239743020481 0.1290249604261764 0.0657038229669382 0.0252901956878953 0.0038532559122133 0.0172900626700903
14    	0.006205441168083043 0.0414980063216260 0.0019924066412978 0.3211694575454018 0.2926226180513803 0.0027137437221422 0.0339382432746463 0.0204867660556357 0.0034762237716552 0.0356716291966155 0.0087784655179177 0.0028841109227025 0.0629175894945226 0.0140767830599966 0.0501081051675061 0.0194486561325541 0.0490939447742411 0.0228098045942092 0.0092617846725290 0.0006753879579465 0.0063762731254738
