512 20
0     	0.006002965835852392 0.0128229594299287 0.0010800914276008 0.0025901483643707 0.0016999270593824 0.0007816933811405 0.9543354004750625 0.0013038745140142 0.0008361919724463 0.0015131428380049 0.0015779566959624 0.0007161063724466 0.0032816821980997 0.0010774354009976 0.0012702363729217 0.0022407506527315 0.0084683968019000 0.0019553508907364 0.0015451912798103 0.0003247562865559 0.0005786755129691
1     	0.005843266982262021 0.0318038932113226 0.0029965057169351 0.0070816915368473 0.0048590072445095 0.0015826213767692 0.8877096554416797 0.0023379777818448 0.0019671924690092 0.0043421322210835 0.0030462768535871 0.0016677769136164 0.0086323275065886 0.0020341162518302 0.0032669818511469 0.0050185560732064 0.0212127345290385 0.0047559239121522 0.0034663850395315 0.0008999356278184 0.0013183156822840
2     	0.005429761022072663 0.0572923666176470 0.0050730728623949 0.0098641349709033 0.0076682075477941 0.0027589125078782 0.8146378497899155 0.0036797086685924 0.0032438595225842 0.0066008986144958 0.0047793938644962 0.0025578855073529 0.0124233183797269 0.0030466469831934 0.0044990157662815 0.0083187071076680 0.0363102742226890 0.0079456596118698 0.0059897813146011 0.0012982502501050 0.0020120585378152
3     	0.005044772714310158 0.0301757580440926 0.0080804193998869 0.0013376276608253 0.0025510164036179 0.0225368595477671 0.0035785648292821 0.0019952946376484 0.3630392719050316 0.0028602820537028 0.1385276604296212 0.0381235362295082 0.0027571741418881 0.0030773468841153 0.0031727788897682 0.0029275140530809 0.0082826458111928 0.0239022635839457 0.3369946314301866 0.0013543148276427 0.0047250346726965
4     	0.004939257400330805 0.0164761577540416 0.0069129607269053 0.0019763457715358 0.0034004747788682 0.0452161210508083 0.0034004803608544 0.0044356141235566 0.1080362824884526 0.0049363221327945 0.5965426957274816 0.0777638978406467 0.0038085049422633 0.0043261371247113 0.0077115098337182 0.0061772667748268 0.0096324870409931 0.0137926900923788 0.0743255223729792 0.0025115610900115 0.0086169712505774
5     	0.004933553869845435 0.0375487322312140 0.0092750364809249 0.0164203094884393 0.0389216309549133 0.0071759080832371 0.0198228707693642 0.0333557717167630 0.0153705027404624 0.2394310052023123 0.0290131076936417 0.0155873675913295 0.0387041807861272 0.0110534485086705 0.0765385247052023 0.2911050976878614 0.0488289554739884 0.0380521441213873 0.0200168744855491 0.0041759179385549 0.0096026104329480
6     	0.004668339702275709 0.0164534011789860 0.0069778382858888 0.0016770726966402 0.0029614905430666 0.0604402223701893 0.0034879537135003 0.0039033189040928 0.1418238522296884 0.0038575468622479 0.5398802938301773 0.0765491775137448 0.0032593123536958 0.0038416516487477 0.0062732798368968 0.0052311679902261 0.0088508303976786 0.0133109889248626 0.0881790092302993 0.0030799077147221 0.0099616853744655
7     	0.004605600866936634 0.0237023278513931 0.0070256669182662 0.0012902724823529 0.0021393330377709 0.0286369910111455 0.0032361743857585 0.0020065454253870 0.3852854959752321 0.0026906949455108 0.1840663727554179 0.0437824148668730 0.0026208984458205 0.0027525755111455 0.0028925063962849 0.0029412217940557 0.0070502242123840 0.0209236977752322 0.2696557448916408 0.0017460969312694 0.0055547292650155
8     	0.004591342040723208 0.0368578709503106 0.0106587066192546 0.0019256051916149 0.0039151307545963 0.0459884329192547 0.0063931071416149 0.0035642974342236 0.2887120801242238 0.0047873571417391 0.2352416565217392 0.0630596187329193 0.0046412233552794 0.0043886850818013 0.0058758695639751 0.0052914244545963 0.0130785359583851 0.0305964689937888 0.2222428136645961 0.0032673149603727 0.0095137982826087
9     	0.00455997262305367 0.0324743801125703 0.0090132185340838 0.0013403252257661 0.0024663983477173 0.0131600040131332 0.0030706030156347 0.0016924355634772 0.2987266422764229 0.0026193940712946 0.0853326173545966 0.0235044272482802 0.0026574828461538 0.0027664074859286 0.0025952208680425 0.0028042853733583 0.0071325765716072 0.0230730744277673 0.4812747285803625 0.0009883004291432 0.0033074737636022
10    	0.004557120857810985 0.0382599423341677 0.0113327004430538 0.0019553802177096 0.0039400470861077 0.0522097373591990 0.0064863344549437 0.0038064186862328 0.2169494098873589 0.0049774630468711 0.3303796326658325 0.0688603752628286 0.0041502072165206 0.0044756387909887 0.0061448592190238 0.0058320327115143 0.0136858302897372 0.0273434865143930 0.1861566088861076 0.0033842286699625 0.0096696710056320
11    	0.004425939656647465 0.0240642265850516 0.0068179294765464 0.0009497792598582 0.0018417119599227 0.0347938308698454 0.0029611243009021 0.0018670737291237 0.2903230728092782 0.0022093198893041 0.3210545032216492 0.0463390271005155 0.0022319724355670 0.0022076282023196 0.0027882674677835 0.0025859932636598 0.0060418012673969 0.0160543128208763 0.2280820315721648 0.0017273120806057 0.0050590972905928
12    	0.00436320082130839 0.0294978633267973 0.0075160466648366 0.0014618791603922 0.0023760182313726 0.0157930088104574 0.0029650268679737 0.0016895400692810 0.3493481098039219 0.0027556344692810 0.1009037387385621 0.0251594540000000 0.0025026173071896 0.0028766196104575 0.0027310564117648 0.0027438776745098 0.0070658262633986 0.0212683213333333 0.4166230483660132 0.0010036119304575 0.0037186920875817
13    	0.004348941995094964 0.0204438062754098 0.0060511629035410 0.0013352930544262 0.0025494108373770 0.0136819959862295 0.0024780271245902 0.0015856409731148 0.4204586963934430 0.0025831373272132 0.0918192072131148 0.0226176075803279 0.0025747362190164 0.0027391700891803 0.0027551713403279 0.0025216702301639 0.0060889161947543 0.0173185333049181 0.3758567062295085 0.0009572935628197 0.0035838173724589
14    	0.00430901728169737 0.0489417605228325 0.0120053247145599 0.0027058083086035 0.0049680935657180 0.0398072171674388 0.0082385208146923 0.0041206524093978 0.2902673209794842 0.0062105562686962 0.1559532187954997 0.0518721347968233 0.0054593649185969 0.0054142259702184 0.0065015236988749 0.0063310975407015 0.0171886897021839 0.0377739172336201 0.2827904493712774 0.0029999706358703 0.0104501464626076
15    	0.004306165516454685 0.0365998191589405 0.0075139116960265 0.0179047880841060 0.0389939611013245 0.0066587110145696 0.0205792877880794 0.0290531663576159 0.0164074987152318 0.2982933437086094 0.0263546467350994 0.0151128189556292 0.0422977888543046 0.0095589121251656 0.0714115347549669 0.2442905986754969 0.0487016828874172 0.0380090825562914 0.0196876548079471 0.0035026723258278 0.0090681165503311
16    	0.004274796098785148 0.0172760184789860 0.0056418664814543 0.0009615800053369 0.0018362240960641 0.0088267600020013 0.0017028160613742 0.0013269791774516 0.3959856791194135 0.0019164336064042 0.0537318097865243 0.0138031410160107 0.0019433303775850 0.0019145239586391 0.0019727705416945 0.0018607425256838 0.0045817538572381 0.0137419396377585 0.4678562014676455 0.0006824596625083 0.0024369493895930
17    	0.00423772315063024 0.0507511843539704 0.0030707988802154 0.2273592092866758 0.3649157261103630 0.0038122677146703 0.0282402824427994 0.0165782898654105 0.0079929716507403 0.0415334656796770 0.0128627584226111 0.0063549122893674 0.0409013621736204 0.0118718406305518 0.0657201067698520 0.0230218313795423 0.0446062144347240 0.0277340631224765 0.0158495448115747 0.0012405936895693 0.0055825646251682
18    	0.004234871385387555 0.0194156868686868 0.0067415012525253 0.0012008178490910 0.0023226417802020 0.0373811830168350 0.0029145015676767 0.0026047458074074 0.2670982168350169 0.0032006520385859 0.3886099932659934 0.0610547657239057 0.0027144425131313 0.0028127508282828 0.0038123340471380 0.0036235286467339 0.0068026782606060 0.0154660708417508 0.1633567393265995 0.0021880155017508 0.0066787142531987
19    	0.004212057263446073 0.0077002724779959 0.0037585535172647 0.0010105002911306 0.0017777141482735 0.0407982525687204 0.0017090911496277 0.0026688462532160 0.0778772905348680 0.0023588298754232 0.7303315274204470 0.0516557101218686 0.0017535975578876 0.0027401956438727 0.0040290688219364 0.0033658986519973 0.0056524442213946 0.0066754907366282 0.0472848792620176 0.0022174274423155 0.0046344165253894
20    	0.004152170193349684 0.0624539825274726 0.0039415196957418 0.1652876623626376 0.3114803729395603 0.0050565281201923 0.0289980163530220 0.0209503558434066 0.0107172738131869 0.0649441493475275 0.0177278698083790 0.0085529929766483 0.0451994796428571 0.0128927810006868 0.0878226457486264 0.0350433979945055 0.0535820028434066 0.0356821706250000 0.0208233968104396 0.0014526324837912 0.0073907642163462
21    	0.004117949010437461 0.0218117008656510 0.0082536777153740 0.0020450171940443 0.0038506347068560 0.0519441065581717 0.0041984551537396 0.0044109868144044 0.1535675081717451 0.0052548436131579 0.4737312603878114 0.1028639613504156 0.0040496732673131 0.0043525224252077 0.0080437464612189 0.0064871050844875 0.0117797365927977 0.0184463270429363 0.1012309319252078 0.0037001854314404 0.0099776235193905
