4096 20
0     	0.0017652426852221524 0.0580564898955481 0.0093244260876034 0.0290084739239735 0.0618984083834399 0.0109060070747030 0.0248701266485768 0.0458030803574317 0.0218132725425926 0.1768701092772197 0.0479647542466922 0.0179694541078342 0.0562536731524260 0.0139375076626905 0.0796107352724199 0.1730512105946659 0.0704739458683835 0.0539708027055861 0.0299980671861711 0.0045963520482429 0.0136231029637992
1     	0.0016853932584269663 0.0649915185173899 0.0111539658155989 0.0470003887575769 0.0851089271265767 0.0168710785634104 0.0266282922827758 0.0634731409704763 0.0249243756264274 0.0780165259755050 0.0591553846005162 0.0227865797830164 0.0568251759007599 0.0198473943435422 0.1507890501872342 0.0763538783083766 0.0725833969538930 0.0554655007440176 0.0435982632129874 0.0045261171726030 0.0199010451573161
2     	0.0014829179261963154 0.0603873735338520 0.0138881122630257 0.0350336130243378 0.0497528642730384 0.0456780975302672 0.0274587489169039 0.1431017621541764 0.0236922350310839 0.0556242354406174 0.0607997377616444 0.0195870241903625 0.0647215086834008 0.0185649036740155 0.0698546994388477 0.0669048409051349 0.0742615398201502 0.0531677843670064 0.0407604450249307 0.0079790341688301 0.0687814397983740
3     	0.0014686590999828894 0.0516624678450119 0.0105318377352228 0.0199235274000514 0.0454418907026420 0.0133276320023276 0.0221100815255274 0.0464612812177366 0.0223255014838898 0.1594631510629041 0.0481584537444283 0.0186269071526041 0.0453405102131925 0.0121877314645595 0.0674194562489309 0.2631520159244703 0.0599944381821783 0.0455382500662123 0.0284310138897889 0.0052787292082807 0.0146251229300404
4     	0.0013945132036730736 0.0643800637818371 0.0168521528930556 0.0267868990684831 0.0545384036065025 0.0603001226612478 0.0233371912522035 0.0591247062279232 0.0487014268466473 0.0669446262604829 0.0813506100999248 0.0273216323616850 0.0567921449223445 0.0118827433442799 0.0637975047629669 0.0739056335597962 0.0709254938008357 0.0596334409817059 0.0546262370680114 0.0176191110790113 0.0611798554210557
5     	0.0013774026122169622 0.0935711584876878 0.0119578564859798 0.0548475788884907 0.0682960904046093 0.0135956060621736 0.0580354014436425 0.0423464265405690 0.0205773661714649 0.0665140056841142 0.0468449746201321 0.0137489550049391 0.0654368144803620 0.0506347089778737 0.0652573265281091 0.0657726776523550 0.1300648091001667 0.0733773877803304 0.0399479526246952 0.0045307027221668 0.0146422003401377
6     	0.0012747390634802944 0.0846755751731282 0.0152480330756355 0.0255294338479221 0.0437834043420055 0.0196086335501902 0.0389296853896086 0.0284875051372238 0.0536105393227579 0.0521624367272128 0.0579988438412255 0.0234342527215010 0.0626259485831071 0.0169007419740226 0.0506237101516163 0.0518654969499537 0.1367134466993183 0.1489001219575915 0.0656082190587550 0.0039407567875415 0.0193532147096828
7     	0.001271887298237609 0.0451909006496757 0.0095405713765143 0.0201854480256279 0.0472332090775815 0.0081919766646406 0.0222706604440545 0.0385130710601776 0.0159322627981247 0.2320227108781597 0.0368825968307339 0.0139202595045481 0.0465714485267404 0.0093452145631376 0.0727313481709950 0.2490345061392623 0.0576746038893881 0.0417273087293903 0.0201544030796566 0.0038446611777776 0.0090328384138131
8     	0.0012661837677522387 0.0602744167974338 0.0111634102685148 0.0228298708109779 0.0501358181368202 0.0158915733127949 0.0386633091323018 0.0552463916126165 0.0220765408631955 0.1090634178989088 0.0541103074393895 0.0178996065596252 0.0547579995137292 0.0170826487470416 0.0727895150474664 0.2089069512610429 0.0709021929712572 0.0545708680779426 0.0358087248343445 0.0086486912046419 0.0191777455099549
9     	0.0012547767067814977 0.0342973512056570 0.0077709470387506 0.0123093958486329 0.0343396440236314 0.0085463411300837 0.0140832848219146 0.0350952713399044 0.0163814205770372 0.2862496340054656 0.0376274199871511 0.0135883003945799 0.0360630736319139 0.0091912327666435 0.0588087461668091 0.2822302133983294 0.0429546882156855 0.0361453081310837 0.0214068882135090 0.0033153574120221 0.0095954816911954
