16 20
0     	0.15741049428841858 0.0728132528450521 0.0143102256676234 0.0544355626252710 0.0719982261902068 0.0369527279137382 0.0509318758914018 0.0266712568032946 0.0685530294783993 0.0695431155965290 0.1025103511980068 0.0259877192585255 0.0454733448559848 0.0278128079708372 0.0455510162358141 0.0545825476822599 0.0635530830601052 0.0570234123264421 0.0728885943610584 0.0069738125253782 0.0314340375140715
1     	0.14962389015983232 0.0858669242844783 0.0132319559301183 0.0572914169548037 0.0579634566519964 0.0382995704656711 0.0801046671550861 0.0277054050711245 0.0535978242296536 0.0447732980328799 0.0927621987578406 0.0217284039569981 0.0382046069039927 0.0489023062765975 0.0405090724085975 0.0600867093707511 0.0614728539967581 0.0568432571236817 0.0710050067808021 0.0175390336633166 0.0321120319848520
2     	0.09262686761623384 0.0872724546261759 0.0092028860271916 0.0969506956905540 0.0962055651806186 0.0171812840830266 0.0616253071457828 0.0345430808755424 0.0243566951738695 0.0697160653816246 0.0444246746393890 0.0135318405889747 0.0768012536299875 0.0275510538966347 0.0617966519159250 0.0569476536731649 0.0933126457297096 0.0680692678631694 0.0353910109377471 0.0056652141517455 0.0194546987891665
3     	0.08087032161893923 0.0895793902682279 0.0026256917113428 0.0645948933371629 0.0634084223462297 0.0336505045712820 0.0657071872343842 0.0172965266397387 0.0567370541442389 0.0677877095938352 0.0814348911994894 0.0190854402474397 0.0555871869832786 0.0317058844976512 0.0456552105867096 0.0439113292246000 0.0725202521717844 0.0708298584428978 0.0718342645888865 0.0106476267887270 0.0354006754220935
4     	0.08023037925207215 0.0696269426230635 0.0105706799070889 0.0218009301824984 0.0284782943339385 0.0384998910465135 0.0311245241832635 0.0150463295522650 0.1553773853175033 0.0278704374740099 0.1843740291373566 0.0415356524933551 0.0211874222929777 0.0180278728019704 0.0240521241822720 0.0312532716221146 0.0372796722476704 0.0495926888012701 0.1656468141890066 0.0064996694332011 0.0221553681786608
5     	0.05735084297398206 0.0680475433737087 0.0124597252925922 0.0342772782134712 0.0389002131188842 0.1082191301528097 0.0417836896854944 0.0426719361052130 0.0507752290209257 0.0378940193385063 0.1028256959499842 0.0270811660781371 0.0362546999748048 0.0222154024376628 0.0346256240135473 0.0439601680863324 0.0531927808592932 0.0471881794899854 0.0608896851878230 0.0230402171268793 0.1136976164939453
6     	0.04828563144173523 0.1494562173429404 0.0637920724990686 0.0314940265638188 0.0367315159640821 0.0325931907790954 0.0588179000262588 0.0233269275933269 0.0552960544280305 0.0346936135950331 0.0866975362951563 0.0248360492094331 0.0318086450431965 0.0229828785504328 0.0307612045704259 0.0414444069477899 0.0831593532882857 0.0678892545074274 0.0883942862525508 0.0088427780333195 0.0269820885103273
7     	0.046603387734821165 0.1102402915087341 0.0019499170202886 0.0825811166499672 0.1533090786690214 0.0055398662533159 0.0343737836160730 0.0213941527688549 0.0145581965086227 0.1253728197407894 0.0280379956351819 0.0082907442118503 0.0532437181740863 0.0126255410327599 0.0998041395288148 0.0776714981065389 0.0721295593430255 0.0642461460896883 0.0262261474707857 0.0014878882673535 0.0069173994042479
8     	0.04348031570490099 0.0765384470259745 0.0026117395838646 0.2396805857641642 0.1828501078864649 0.0039169883445075 0.0577570352781680 0.0193324173905020 0.0068447550995259 0.0541627898550991 0.0129002957299013 0.0048182812703830 0.0946991876043493 0.0194988476796504 0.0552965926975141 0.0267929783272227 0.0750913746724028 0.0460446209000126 0.0140644184120525 0.0015654959364133 0.0055330405418279
9     	0.043030695518998366 0.1298907646019740 0.0057934989810355 0.0493802904075009 0.0642650662286894 0.0140914664336553 0.0430234134652772 0.0174905394957643 0.0251457621074829 0.0463686194788151 0.0441029390111950 0.0119182655259576 0.0300772699431056 0.2461718955398449 0.0385981835234686 0.0387405207740182 0.0783768797313819 0.0564032170200466 0.0432476410352188 0.0045915241014845 0.0123222425940838
