256 20
0     	0.016458397998168308 0.0591472436825766 0.0187395652489717 0.0544851927892899 0.0692632316880093 0.0406611404074505 0.0511712505875049 0.0311631259107489 0.0605712165386108 0.0760565368878541 0.0922506086845169 0.0260818348040357 0.0455112735351183 0.0377498075320140 0.0469396096158324 0.0593541271781141 0.0638335063562282 0.0526233280946837 0.0642585309429570 0.0133263217959643 0.0368125492456345
1     	0.01594107931836558 0.0633370197676283 0.0156748459079327 0.0522656451466346 0.0637043133389423 0.0386237999679487 0.0538515194575321 0.0270055979871795 0.0549588552796474 0.0562501689046474 0.1485483523237175 0.0271961654551282 0.0436639397203526 0.0364161052788462 0.0457194685272436 0.0521606409911859 0.0622969723878205 0.0530210620977564 0.0596530088541666 0.0123290000262019 0.0333235228589744
2     	0.012793738017047248 0.0654835107417391 0.0147762812446840 0.0523072758181092 0.0582887520025956 0.0390342917789757 0.1226937626534890 0.0259763505500649 0.0580181923250474 0.0523950546091644 0.0905349721473495 0.0226757901387641 0.0404195240161725 0.0392402287081961 0.0403125912868124 0.0524381123559948 0.0587322930438255 0.0517303710861536 0.0675716760107817 0.0134523000660876 0.0339186717510233
3     	0.012773300735869856 0.0713987172500000 0.0179666486152000 0.0500933500450000 0.0564530446210000 0.0371034182580000 0.0557255311620000 0.0275701689078000 0.0547705723960000 0.0528720975150000 0.0844411099900000 0.0238424122000000 0.0465117124330000 0.0381992162440000 0.0423917394930000 0.0510836827000000 0.1179469153399998 0.0613962920640000 0.0652794993800000 0.0120290864365000 0.0329247931130000
4     	0.01198774274061386 0.1235085861602384 0.0144001390638185 0.0530468487332197 0.0630030314468357 0.0335958322927765 0.0551648739569572 0.0252441559887066 0.0562821505295121 0.0607501241114426 0.0823872852865971 0.0234235121489452 0.0447290754187087 0.0363009070764969 0.0461162007095674 0.0499418689910505 0.0682802032921372 0.0568927348923929 0.0652544885041551 0.0112172680902408 0.0304607102652887
5     	0.011665855562069938 0.0668870482207380 0.0136879434667689 0.0561772121241651 0.1309655085185591 0.0361884617486039 0.0534510039056170 0.0264372058097011 0.0585201554242855 0.0536082153947224 0.0900788742910325 0.0239719041136538 0.0407582888229497 0.0349716135804226 0.0439517187627286 0.0499638148538268 0.0571934953027483 0.0527603330340523 0.0667078329092303 0.0110428828006132 0.0326764889882842
6     	0.011596879738096241 0.0676550838308184 0.0138939032527811 0.0526671509813856 0.0591548562517898 0.0350677777001872 0.0556582005485186 0.0252849457583434 0.0556364897026104 0.0555680329408525 0.0792296513602820 0.0237961329353453 0.0464319156493006 0.0378702853276793 0.0431305318999890 0.0521759697268422 0.0648063824319859 0.1229228556118515 0.0645809806586629 0.0123285579577046 0.0321402983632559
7     	0.011429549498456346 0.0713500480889585 0.0144725015094993 0.0502293275402325 0.0587780679000894 0.0376477460583371 0.0564703809108181 0.0263042883940545 0.0551218463388467 0.0517769790724184 0.0843508945574430 0.0225235859767546 0.0394487804839070 0.1087554353486816 0.0414549232029504 0.0516714041562360 0.0603185461186857 0.0547154001028163 0.0674507452391596 0.0134361524805543 0.0337229528889137
8     	0.01141549886764689 0.0710115784539658 0.0121264027902450 0.0807892837118246 0.0914242922250812 0.0231800721165679 0.0587879910426222 0.0332746104426670 0.0324903997986352 0.0741793506656225 0.0551348906700972 0.0171988263731961 0.0626738298948428 0.0395702710774136 0.0598709637711153 0.0584269880042510 0.0887297765633740 0.0650282049446247 0.0436677869191185 0.0082294787470634 0.0242049980266248
9     	0.011036131835791555 0.0704470937916666 0.0161319480768519 0.0496319537511574 0.0571405781921296 0.0368497763692130 0.0555335457106481 0.0287370947489583 0.0564071783541667 0.0486155500474537 0.0866911930787037 0.0231052978553241 0.0394952614282407 0.0351529951620370 0.0414046492256944 0.1256683661111110 0.0576099967037037 0.0547139360428241 0.0698165359953704 0.0133804495218750 0.0334666089629630
10    	0.010815153733061007 0.0702844557812685 0.0132911388540215 0.1236485692689265 0.0565547540982638 0.0376001340675564 0.0598403906259596 0.0259264091756230 0.0574319450832644 0.0545915066056454 0.0844331620526751 0.0225964487421755 0.0438532488106767 0.0367499056879650 0.0396252380878706 0.0496965091897957 0.0578668355367899 0.0521737467509153 0.0667842179390575 0.0129342248061887 0.0341171641998347
11    	0.009844382877134898 0.0690358219566628 0.0140989831435059 0.0518342571739977 0.0559131294874789 0.0456963132463994 0.0567763206539510 0.0285251211846373 0.0555924165122616 0.0541402455689633 0.0797981817295964 0.0231347851394836 0.0427546446827559 0.0354350019605553 0.0381601492422473 0.0476979102283638 0.0587112407824056 0.0526704884222136 0.0653482662255093 0.0146503807445180 0.1100263438692099
12    	0.009827777586178267 0.0715570523394854 0.0145268327316090 0.0528800307499350 0.0586573116948271 0.1104509665583573 0.0575719715817520 0.0271094055822719 0.0539547207135430 0.0538625125136470 0.0776915814920718 0.0245988253171302 0.0421793231998960 0.0363893691421887 0.0399794646958669 0.0495781619755654 0.0599033055172862 0.0529369551169743 0.0629284879685469 0.0140186000634260 0.0392251124811541
13    	0.009595303512785435 0.0663990189829606 0.0148235355674920 0.0517346415814697 0.0609809382521299 0.0379698237539936 0.0549818100718850 0.0244296217851438 0.1266059396964858 0.0595120465402023 0.0818629218157615 0.0269172601677316 0.0437970745127796 0.0342712398815229 0.0395945277542598 0.0477976373149627 0.0592336636767838 0.0543255013977636 0.0684573680870607 0.0121124196246006 0.0341930126397764
14    	0.009591471522564675 0.0670908116260487 0.0153157874974031 0.0523416977786656 0.0606035427327207 0.0381851410347583 0.0570113857491011 0.0258319426301771 0.0600524390105207 0.0542635946197896 0.0759679455586629 0.0250829377533626 0.0419743141163937 0.0407103834891463 0.0389225020561992 0.0503942047969104 0.0618744832028233 0.0545945767212678 0.1325278044080438 0.0132042485517379 0.0340502581981622
15    	0.009555706280504239 0.0642991102005079 0.0162506858208796 0.0416142946197032 0.0493282870899613 0.0389464706402887 0.0475069256062024 0.0245614989804839 0.0732474304865660 0.0466328684440583 0.1409436338056409 0.0308121551530544 0.0342203849766074 0.0328711205173105 0.0385309779601658 0.0483262813581072 0.0544271652720225 0.0546774373158669 0.1183146793877823 0.0123838144782783 0.0321047794412512
16    	0.009187835219311187 0.0665492864034477 0.0147437604582233 0.0454750899207563 0.0522940551591825 0.0395239510079244 0.0527984800722925 0.0253018907076324 0.0564416043945502 0.0448945881287362 0.2176034003892671 0.0329640822202141 0.0369826801473655 0.0291945074975671 0.0373850705699986 0.0481997662352287 0.0500354800236340 0.0449004828680661 0.0614229728263589 0.0123906887843737 0.0308981631711386
17    	0.00914440599680923 0.0722972315546864 0.0124287268941193 0.0556148319723425 0.0637212403450203 0.0330246023718397 0.0563996254518788 0.0253295334055036 0.0522417303841319 0.1453266387484284 0.0711264864254784 0.0219334289663361 0.0457599120882805 0.0330953728733063 0.0453632909135354 0.0500821143609443 0.0608220908869954 0.0542850974256181 0.0588360224333008 0.0100383442813242 0.0322736820840900
18    	0.008621977996712153 0.0670911637570371 0.0127460971478519 0.0507545808222222 0.0491050908385185 0.0365618703051852 0.1954134628148149 0.0243207456207407 0.0579208735866667 0.0428823382992593 0.0832277202222222 0.0224354652281481 0.0382078627733333 0.0331648700370370 0.0340279524251852 0.0461941052622222 0.0479595629437037 0.0476267851096297 0.0666029525392592 0.0118947878577778 0.0318617121496296
19    	0.008524900911119541 0.0743325776146239 0.0057602442589152 0.0996532753071620 0.1192890462691039 0.0107147249402158 0.0542782382469284 0.0356672082274498 0.0167490155501948 0.1113018067425831 0.0334415762421336 0.0103584271615223 0.0701958567275996 0.0267364371549295 0.0790250056967335 0.0825103493407253 0.0725555949790231 0.0545779857851364 0.0246818929832184 0.0038523564800270 0.0143183788748875
20    	0.008288594847505949 0.0753258585234279 0.0133416805237361 0.0494597949737978 0.0589388517570900 0.0333971106196054 0.0532347983076449 0.0298984975863132 0.0517846025369913 0.0519945814087546 0.0833200035295931 0.0250887565197287 0.0444621072626387 0.0338592089996917 0.1153440691584462 0.0549993546362515 0.0626400160018496 0.0582156836451911 0.0625796170283601 0.0118784075935573 0.0302369968865598
21    	0.00822856033404736 0.0740421964607265 0.0140023197573735 0.0503732007544241 0.0525446169031357 0.0371040090686122 0.0581684961875194 0.0285158045684570 0.0567708442021112 0.0475944460338404 0.0860462508382490 0.0245069380533996 0.1148542903911829 0.0354314244628997 0.0414174335268550 0.0489314239832350 0.0605309697128221 0.0564963848680534 0.0660801948307979 0.0126169395235952 0.0339718114250233
22    	0.007689527042993653 0.1276996111295681 0.0137977639338870 0.0643190319667774 0.0673446344003322 0.0308526084966778 0.0714375637009967 0.0309103076511628 0.0366918353986712 0.0299826733571429 0.0894352993355482 0.0180434271976744 0.0274080768205980 0.0497072280066445 0.0463896313421927 0.0872002211461795 0.0541515042956810 0.0540387033637874 0.0621804646013289 0.0142109150299003 0.0241985006196013
23    	0.007543911414604736 0.1932092304436163 0.0143682314959363 0.0505116577819167 0.0609301582492381 0.0303499878107010 0.0524958495259059 0.0248304926972570 0.0481688628225534 0.0547603609210972 0.0737974436471385 0.0220765745394514 0.0395322094751100 0.0323198793718253 0.0432056451947172 0.0507470050575686 0.0646021031645784 0.0493703685794108 0.0559618135370808 0.0110139781732137 0.0277481358753810
24    	0.007469826270336691 0.0675318507764665 0.0097009454759706 0.0563091806584573 0.1382607430648198 0.0263861468170002 0.0396518467863862 0.0252987554917052 0.0465384496083462 0.1114754350436121 0.0679011745920985 0.0211384383803660 0.0468560438943048 0.0259194924520267 0.0582160617444843 0.0579344926885582 0.0592703781956559 0.0563758004378314 0.0514366426748759 0.0074449521096289 0.0263531661108260
25    	0.0074493889891593 0.0604559973936899 0.0141595371301440 0.0452184291015089 0.0523430158024691 0.0344022261008230 0.0520728931310014 0.0234809214094650 0.1355779492969821 0.0484015440723594 0.0756066365912209 0.0238875075154321 0.0366108989711934 0.0319459547016461 0.0349399064900549 0.0453085410613855 0.0502989320370370 0.0482602585133745 0.1450253793209876 0.0110995695555556 0.0309039015260631
