4096 20
0     	0.0033887566852262726 0.0646779631318655 0.0141151345859241 0.0562784777746637 0.0653851455045958 0.0476142269172746 0.0633845575995304 0.0390305031537475 0.0577080935209908 0.0596762457885774 0.0741565586422651 0.0245995559010193 0.0479002327309774 0.0486424114804763 0.0515286483000058 0.0539485829902216 0.0616152677345850 0.0569651955927447 0.0639759446038214 0.0157715614272681 0.0330256926194453
1     	0.0032827382891185528 0.0646259163682760 0.0402057406138074 0.0540484467939476 0.0602231660535678 0.0459683979006676 0.0505248453591798 0.0326572715834661 0.0571533880945715 0.0578375942475980 0.0783084039901726 0.0218856636159433 0.0486629601253732 0.0375836151417024 0.0481520416128136 0.0600260667916851 0.0671479426163184 0.0587228670898407 0.0656048342529426 0.0139060638380940 0.0367547739100323
2     	0.0031320133404352884 0.0633571429424558 0.0171549981285775 0.0587520453825239 0.0679695398935966 0.0465199017514886 0.0552970880548274 0.0321367743997247 0.0606982890138122 0.0659706712840810 0.0811429008124708 0.0238802923710874 0.0551111388759640 0.0330480120378623 0.0538033975172868 0.0568239462269098 0.0670955720189032 0.0571138810292524 0.0643193265570995 0.0056821707015106 0.0341229110005655
3     	0.0031294586802881144 0.0652547402849348 0.0206223667375329 0.0553765817913932 0.0623447765135033 0.0469193552384505 0.0553000639973409 0.0221690107128241 0.0660140159209347 0.0595836747414082 0.1046202043895350 0.0307783882219621 0.0485787354071243 0.0330749498481495 0.0399237470522398 0.0564019789446779 0.0634858091841175 0.0564866155435308 0.0674751024859952 0.0114121504076474 0.0341777325766982
4     	0.003092416108154092 0.0614081959482350 0.0167626076939728 0.0538255353690325 0.0636887533472895 0.0348143544443356 0.0541498363698708 0.0254070803798894 0.0605078168822236 0.0634098325153904 0.1452162100186236 0.0259758448618678 0.0431809998554912 0.0297862160351892 0.0493276596217305 0.0543978967375693 0.0621473973124072 0.0530076711795629 0.0618002691732140 0.0108886686357178 0.0302971536183866
5     	0.0027986301912290854 0.0630283114675216 0.0191655188132001 0.0578207227162393 0.1136461825003632 0.0348235719407555 0.0584066717214728 0.0240706551015791 0.0604470850759885 0.0605636844183588 0.0883132990367419 0.0222846606360184 0.0446273096213743 0.0340194471461280 0.0395300406987578 0.0546933556817372 0.0625264942168770 0.0536602022742626 0.0659108175225622 0.0113433529812108 0.0311186164288507
6     	0.0027896888807139764 0.0678063569104230 0.0145879055007344 0.0547588558899558 0.0623130307410479 0.0343103724297608 0.0634126278739409 0.0232247456667351 0.0569085315423314 0.0577114103818472 0.0716392053670651 0.0204957268592225 0.0375566243488172 0.1072270400695702 0.0377422317251400 0.0561362444058423 0.0616157247250235 0.0588362871653936 0.0655080509511972 0.0160794283794864 0.0321295990664652
7     	0.002736041017623323 0.0659840725779944 0.0199592133025458 0.0544384449039806 0.0621815636278438 0.0395619855868412 0.0592577564273545 0.0265940127759129 0.0597236822554689 0.0609311946853575 0.0816940071863722 0.0229368283840787 0.0371027302658235 0.0336475716537418 0.0382121776820714 0.0573128633521120 0.0643188254719570 0.0575397900623341 0.0665086100004083 0.0595891636735537 0.0325055061242481
8     	0.002706662425930822 0.0632333078582171 0.0207393729271264 0.0548846172926018 0.0624619796479040 0.0360850439614701 0.0551408458359504 0.0272631006891566 0.0588376710119924 0.0608922866582917 0.0816138795271104 0.0237743056012076 0.0524165774402163 0.0350558863995990 0.0412625762821651 0.0553764266857483 0.1077196951571081 0.0598998411689224 0.0640586765408448 0.0090522296738078 0.0302316796405592
9     	0.0026708971838703866 0.0659373411717440 0.0197170779995644 0.0560877865157744 0.0615328510170155 0.0359142098114260 0.1180710843946282 0.0240808058041963 0.0581352734187178 0.0566322447201505 0.0858599124667671 0.0207317178480284 0.0374718925958261 0.0360276708423862 0.0365809593813319 0.0573193803824791 0.0606864583369368 0.0552522678869150 0.0678837238608794 0.0161913880071467 0.0298859535380862
10    	0.002642795922251473 0.0655331786778776 0.0202068706456639 0.0540960059647590 0.0685920381340491 0.0358794096823072 0.0530177060678761 0.0268971864066916 0.0643158806067311 0.0576136313908032 0.1170870987943484 0.0237144040987534 0.0490959065592153 0.0319427345856773 0.0493928712006478 0.0559400078898394 0.0672977244273828 0.0561913668767418 0.0672143514015697 0.0050627089900115 0.0309089175990538
11    	0.002636409271883538 0.0668883596253221 0.0126694181800182 0.0552317214658209 0.0618622165154103 0.0353681780881364 0.0616619709737049 0.0275499362248498 0.0569801778410090 0.0619540710765918 0.0813057059446616 0.0213013460738154 0.0462946263834373 0.0356211858514075 0.0411305937177139 0.1029816746883583 0.0600948847267638 0.0566077960656402 0.0658487970665938 0.0158633559093712 0.0327839835813737
12    	0.0025010122840833176 0.0616518511391832 0.0061175330220695 0.0532516350803468 0.0624064421795218 0.0473199625955391 0.0582476677151576 0.0271588878204997 0.0565794575134732 0.0567672961673594 0.0939877292283667 0.0248306192277243 0.0490404359875137 0.0474534332285094 0.0519905839850366 0.0564944076371306 0.0625204886059616 0.0574859708006916 0.0718054567272901 0.0122679682066372 0.0426221731319884
13    	0.0024997349540097306 0.0660556178070488 0.0143100395328791 0.1054774184130287 0.0634274567045960 0.0357118911359612 0.0626015412655442 0.0254341837052599 0.0558997754874654 0.0583960911605813 0.0784839139422080 0.0205335496872750 0.0522225943048836 0.0370750400353247 0.0359898242343991 0.0565575860069202 0.0614880829886972 0.0575276671094669 0.0642306622865839 0.0161921849923155 0.0323848791995616
14    	0.002480575002905926 0.0655413287617202 0.0159803210714237 0.0585658175732133 0.0653805508231380 0.0336832946287782 0.0607691004756321 0.0241698479985293 0.0565695719334112 0.1076500712975153 0.0723771427411385 0.0202255068926139 0.0479725072482081 0.0356183247408528 0.0481771019478908 0.0621380082540521 0.0619483111730040 0.0562639734266960 0.0621862612655158 0.0153658648052082 0.0294170929414582
15    	0.002475465682611578 0.1105418478379481 0.0118127966509059 0.0577442605105617 0.0648276105535967 0.0376271919653164 0.0631428805286049 0.0257678604289523 0.0549700326808093 0.0585465186486994 0.0719854440095347 0.0176250069196352 0.0445548154514595 0.0465879891232899 0.0486446729437236 0.0578973439211090 0.0617066952030715 0.0562219436966497 0.0625112423282694 0.0155050714819166 0.0317787751159462
